Id,SalePrice
1461,122234.99595954607
1462,139178.2636842212
1463,169872.05425123393
1464,199138.80165588262
1465,196257.10922934313
1466,182619.85966399882
1467,200754.86627186986
1468,173034.1489842207
1469,208088.2143585669
1470,118252.26905730285
1471,200048.73990276002
1472,112555.15779929969
1473,88064.08531106368
1474,148705.89951938612
1475,111190.90212161874
1476,313040.5601473822
1477,249881.2444459683
1478,289183.3254708458
1479,268060.78699597355
1480,386285.10675268597
1481,289265.5588691138
1482,211435.14327074902
1483,174685.63488207373
1484,172963.71640966635
1485,207308.94186755584
1486,207784.37808122754
1487,285212.2702380832
1488,260324.31090685038
1489,181886.9981307449
1490,232981.13720525394
1491,211504.539703522
1492,90426.20873619558
1493,219465.9586477155
1494,288069.0553354203
1495,275579.27905941044
1496,215710.97587212373
1497,158689.53289793537
1498,152318.14062559546
1499,162017.52946486336
1500,150472.5957740686
1501,189066.5901665202
1502,146061.91770618327
1503,286086.9948362907
1504,246544.75633574522
1505,223037.12948208337
1506,196997.1464690176
1507,241454.5830160895
1508,198596.45776804246
1509,153425.93172773265
1510,144251.4616318025
1511,147768.5798075212
1512,189769.14740378305
1513,166459.8966299194
1514,157420.3756563909
1515,204396.89912784996
1516,170779.43654695258
1517,166310.29242595437
1518,118868.13734457607
1519,240796.68304192706
1520,122672.23441717413
1521,113388.31738787412
1522,204902.22104703297
1523,74005.80278102425
1524,101185.63413032435
1525,98785.92745774321
1526,84605.05433562747
1527,90674.54326350067
1528,150072.45892380958
1529,128291.4301870832
1530,245827.12035457615
1531,143591.15240821114
1532,118226.97817458247
1533,144876.4037867874
1534,123530.12278990995
1535,143188.48331319925
1536,97261.1196065197
1537,43024.250792026985
1538,177981.47587961366
1539,217808.58082451893
1540,112522.13588624925
1541,153446.8771557057
1542,130444.29206359887
1543,184946.22151815414
1544,74419.69345434767
1545,130035.13048738369
1546,140107.97738154337
1547,141476.88529371575
1548,132213.49218529172
1549,126179.09895549028
1550,126041.08840124274
1551,131011.2288657407
1552,134539.79434795806
1553,167794.93210305728
1554,117656.49206461583
1555,158672.82303543657
1556,80258.39594810491
1557,90087.36519183137
1558,92457.05659742269
1559,73509.8221890087
1560,125176.04901616939
1561,123951.26049667306
1562,116698.84488870006
1563,114864.87732180918
1564,149011.5996264032
1565,139636.71973661368
1566,244002.2523135912
1567,68730.91128316661
1568,221420.98893975827
1569,92118.47818828176
1570,144207.14488795202
1571,120777.65388441214
1572,134066.21397984948
1573,243732.54268885462
1574,117219.29811654415
1575,243937.75749020104
1576,257909.03276117437
1577,198093.19049965532
1578,145811.96769055713
1579,136017.75282271218
1580,210010.48160637252
1581,136361.41669536114
1582,126789.12997718307
1583,306108.3975886378
1584,228178.42531052942
1585,157149.6073923438
1586,54049.4579039166
1587,98704.36099051463
1588,141576.61428393924
1589,107460.64324931882
1590,130113.32911830454
1591,74083.58355647465
1592,121236.56232248445
1593,149974.54461326927
1594,125317.97246963612
1595,119982.99402509944
1596,207090.72670360457
1597,168304.3424602478
1598,207105.5154905658
